Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.58,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),48.75,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.13,
Aspirate 500 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=5000, pressure=-100, pipette_tip_type=1000),6.03,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-121000, velocity='800000'),4.0,
Wait 5 seconds,delay,5,
Dispense 500 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=5000, pressure=100, turn_off_air_valve=True),5.79,
Wait 3 seconds,delay,3,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=100, turn_off_air_valve=True),4.17,
Aspirate 500 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=5000, pressure=-100, pipette_tip_type=1000),6.03,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-121000, velocity='800000'),4.02,
Wait 5 seconds,delay,5,
Dispense 500 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=5000, pressure=100, turn_off_air_valve=True),5.65,
Wait 3 seconds,delay,3,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=100, turn_off_air_valve=True),4.18,
Aspirate 500 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=5000, pressure=-100, pipette_tip_type=1000),6.01,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-121000, velocity='800000'),4.02,
Wait 5 seconds,delay,5,
Dispense 500 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=5000, pressure=100, turn_off_air_valve=True),5.58,
Wait 3 seconds,delay,3,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=100, turn_off_air_valve=True),4.22,
Aspirate 500 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=5000, pressure=-100, pipette_tip_type=1000),5.99,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-121000, velocity='800000'),4.0,
Wait 5 seconds,delay,5,
Dispense 500 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=5000, pressure=100, turn_off_air_valve=True),5.59,
Wait 3 seconds,delay,3,
