Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),43.26,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.5,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.47,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-927000, velocity='80000'),3.85,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-472750, velocity='20000'),1.59,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-472950, velocity='20000'),0.91,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-473150, velocity='20000'),0.91,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1027000, velocity='80000'),3.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1037000, velocity='80000'),1.82,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1035000, velocity='80000'),1.37,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-935000, velocity='80000'),3.85,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-465150, velocity='20000'),1.79,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-464950, velocity='20000'),0.91,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-464750, velocity='20000'),0.91,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-464550, velocity='20000'),0.9,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-464350, velocity='20000'),0.9,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-464150, velocity='20000'),0.9,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-463950, velocity='20000'),0.9,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-463750, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-463550, velocity='20000'),1.13,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-463350, velocity='20000'),0.91,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-463150, velocity='20000'),1.13,
