Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=79687, velocity='800000'),4.94,
Aspirate 600 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=6000, pressure=-100, pipette_tip_type=1000),5.19,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-738000, velocity='800000'),0.93,
Dispense 600 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=6000, pressure=100, turn_off_air_valve=True),6.09,
Wait 5 seconds,delay,5,
Dispense 120 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1200, pressure=100, turn_off_air_valve=True),4.35,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-955000, velocity='800000'),0.92,
Aspirate 850 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8500, pressure=-100, pipette_tip_type=1000),6.16,
Dispense 850 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=8500, pressure=100, turn_off_air_valve=True),7.07,
Wait 2 seconds,delay,2,
Dispense 170 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1700, pressure=100, turn_off_air_valve=True),4.46,
Wait 2 seconds,delay,2,
Dispense 170 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1700, pressure=100, turn_off_air_valve=True),4.45,
Aspirate 600 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=6000, pressure=-100, pipette_tip_type=1000),5.35,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-738000, velocity='800000'),0.89,
Dispense 600 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=6000, pressure=100, turn_off_air_valve=True),6.09,
Wait 2 seconds,delay,2,
Dispense 120 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1200, pressure=100, turn_off_air_valve=True),4.34,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-955000, velocity='800000'),0.93,
Aspirate 850 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8500, pressure=-100, pipette_tip_type=1000),6.18,
Dispense 850 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=8500, pressure=100, turn_off_air_valve=True),7.08,
Wait 2 seconds,delay,2,
Dispense 170 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1700, pressure=100, turn_off_air_valve=True),4.47,
Wait 2 seconds,delay,2,
Dispense 170 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1700, pressure=100, turn_off_air_valve=True),4.45,
Aspirate 600 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=6000, pressure=-100, pipette_tip_type=1000),5.33,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-745000, velocity='800000'),0.94,
Dispense 600 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=6000, pressure=100, turn_off_air_valve=True),6.09,
Wait 2 seconds,delay,2,
Dispense 120 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1200, pressure=100, turn_off_air_valve=True),4.34,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-962000, velocity='800000'),0.93,
Aspirate 850 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8500, pressure=-100, pipette_tip_type=1000),6.16,
Dispense 850 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=8500, pressure=100, turn_off_air_valve=True),7.08,
Wait 2 seconds,delay,2,
Dispense 170 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1700, pressure=100, turn_off_air_valve=True),4.45,
Wait 2 seconds,delay,2,
Dispense 170 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1700, pressure=100, turn_off_air_valve=True),4.46,
Aspirate 600 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=6000, pressure=-100, pipette_tip_type=1000),5.32,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-744000, velocity='800000'),0.93,
Dispense 600 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=6000, pressure=100, turn_off_air_valve=True),6.08,
Wait 2 seconds,delay,2,
Dispense 120 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1200, pressure=100, turn_off_air_valve=True),4.35,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-961000, velocity='800000'),0.91,
Aspirate 850 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8500, pressure=-100, pipette_tip_type=1000),6.2,
Dispense 850 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=8500, pressure=100, turn_off_air_valve=True),7.08,
Wait 2 seconds,delay,2,
Dispense 170 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1700, pressure=100, turn_off_air_valve=True),4.49,
Wait 2 seconds,delay,2,
Dispense 170 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1700, pressure=100, turn_off_air_valve=True),4.45,
Wait 20 minutes,delay,1200.0,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=93421, velocity='800000'),4.87,
Aspirate 880 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8800, pressure=-100, pipette_tip_type=1000),6.17,
Aspirate 20 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=200, pressure=-100, pipette_tip_type=1000),3.17,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-273300, velocity='300000'),0.95,
Wait 45 seconds,delay,45,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=100, turn_off_air_valve=True),4.2,
Wait 5 seconds,delay,5,
Dispense 180 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1800, pressure=100, turn_off_air_valve=True),4.47,
Wait 5 seconds,delay,5,
Dispense 150 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1500, pressure=100, turn_off_air_valve=True),4.36,
Wait 5 seconds,delay,5,
Dispense 150 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1500, pressure=100, turn_off_air_valve=True),4.33,
Wait 5 seconds,delay,5,
Dispense 220 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=2200, pressure=100, turn_off_air_valve=True),4.57,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-266900, velocity='300000'),0.93,
Dispense 80 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=800, pressure=100, turn_off_air_valve=True),4.1,
Wait 3 seconds,delay,3,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=100, turn_off_air_valve=True),4.1,
Aspirate 880 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8800, pressure=-100, pipette_tip_type=1000),6.19,
Aspirate 20 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=200, pressure=-100, pipette_tip_type=1000),3.19,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-273300, velocity='300000'),0.93,
Wait 45 seconds,delay,45,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=100, turn_off_air_valve=True),4.22,
Wait 5 seconds,delay,5,
Dispense 180 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1800, pressure=100, turn_off_air_valve=True),4.46,
Wait 5 seconds,delay,5,
Dispense 150 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1500, pressure=100, turn_off_air_valve=True),4.34,
Wait 5 seconds,delay,5,
Dispense 150 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1500, pressure=100, turn_off_air_valve=True),4.33,
Wait 5 seconds,delay,5,
