Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.77,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.23,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),54.98,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.13,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1063000, velocity='80000'),1.85,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-259700, velocity='20000'),0.93,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-259500, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-259300, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-259100, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-258900, velocity='20000'),0.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-258700, velocity='20000'),0.91,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-258500, velocity='20000'),0.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-258700, velocity='20000'),0.9,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-258900, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-259100, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1053000, velocity='80000'),1.84,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-150000, velocity='150000'),2.53,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-200000, velocity='150000'),2.52,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1043000, velocity='80000'),1.83,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-258900, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1079000, velocity='80000'),1.83,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1069000, velocity='80000'),1.84,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1059000, velocity='80000'),1.83,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1049000, velocity='80000'),1.83,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-255200, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-255000, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-255200, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-255000, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1063000, velocity='80000'),1.82,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1073000, velocity='80000'),1.84,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1063000, velocity='80000'),1.83,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1053000, velocity='80000'),1.83,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1043000, velocity='80000'),1.83,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-241100, velocity='20000'),0.91,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-240900, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1063000, velocity='80000'),1.84,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1053000, velocity='80000'),1.84,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-237300, velocity='20000'),0.92,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),53.6,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.14,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.21,
Wait 3 seconds,delay,3,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),9.83,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.7,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),17.41,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.15,
