Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),22.76,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),7.2,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=88974, velocity='800000'),4.93,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-266900, velocity='20000'),0.95,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-273300, velocity='20000'),0.92,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),44.26,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=128829, velocity='800000'),5.04,
Aspirate 600 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=6000, pressure=-100, pipette_tip_type=1000),5.52,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-738000, velocity='800000'),0.96,
Dispense 600 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=6000, pressure=100, turn_off_air_valve=True),5.94,
Wait 5 seconds,delay,5,
Dispense 120 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1200, pressure=100, turn_off_air_valve=True),4.34,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-955000, velocity='800000'),0.98,
Aspirate 850 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8500, pressure=-100, pipette_tip_type=1000),6.62,
Dispense 850 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=8500, pressure=100, turn_off_air_valve=True),6.81,
Wait 2 seconds,delay,2,
Dispense 170 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1700, pressure=100, turn_off_air_valve=True),4.46,
Wait 2 seconds,delay,2,
Dispense 170 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1700, pressure=100, turn_off_air_valve=True),4.46,
Aspirate 600 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=6000, pressure=-100, pipette_tip_type=1000),5.56,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-738000, velocity='800000'),0.94,
Dispense 600 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=6000, pressure=100, turn_off_air_valve=True),5.94,
Wait 2 seconds,delay,2,
Dispense 120 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1200, pressure=100, turn_off_air_valve=True),4.35,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-955000, velocity='800000'),0.93,
Aspirate 850 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8500, pressure=-100, pipette_tip_type=1000),6.6,
Dispense 850 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=8500, pressure=100, turn_off_air_valve=True),6.82,
Wait 2 seconds,delay,2,
Dispense 170 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1700, pressure=100, turn_off_air_valve=True),4.44,
Wait 2 seconds,delay,2,
Dispense 170 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1700, pressure=100, turn_off_air_valve=True),4.48,
Aspirate 600 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=6000, pressure=-100, pipette_tip_type=1000),5.64,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-745019, velocity='800000'),0.91,
Dispense 600 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=6000, pressure=100, turn_off_air_valve=True),5.96,
Wait 2 seconds,delay,2,
Dispense 120 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1200, pressure=100, turn_off_air_valve=True),4.34,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-962019, velocity='800000'),0.97,
