Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.74,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.75,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1300000, velocity='80000'),29.32,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1400000, velocity='80000'),3.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1300000, velocity='80000'),3.93,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-580000, velocity='150000'),2.53,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-530000, velocity='150000'),2.52,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-430000, velocity='150000'),3.24,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-330000, velocity='150000'),3.0,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-230000, velocity='150000'),2.98,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-210000, velocity='150000'),2.09,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1400000, velocity='80000'),3.9,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-208000, velocity='150000'),1.39,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-175950, velocity='20000'),0.93,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-175750, velocity='20000'),0.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-206000, velocity='150000'),1.38,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-204000, velocity='150000'),1.38,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-206000, velocity='150000'),1.37,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1516000, velocity='80000'),4.14,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1216000, velocity='80000'),8.1,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1216000, velocity='80000'),8.04,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1400000, velocity='80000'),31.24,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-170750, velocity='20000'),1.6,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-170550, velocity='20000'),0.91,
