Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),8.89,
Aspirate 50 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=500, pressure=-300, pipette_tip_type=200),4.15,
Aspirate 50 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=500, pressure=-300, pipette_tip_type=200),4.08,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=None, turn_off_air_valve=True),4.05,
Wait 2 seconds,delay,2,
Dispense 20 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=200, pressure=None, turn_off_air_valve=True),4.04,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),47.35,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.15,
Aspirate 7 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=70, pressure=-300, pipette_tip_type=50),4.02,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),57.63,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.12,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-200000, velocity='80000'),5.82,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-400000, velocity='80000'),6.03,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-600000, velocity='80000'),6.03,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-800000, velocity='80000'),6.03,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-850000, velocity='80000'),2.67,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-890000, velocity='80000'),2.44,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-890000, velocity='80000'),20.51,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),37.42,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.16,
Aspirate 7 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=70, pressure=-300, pipette_tip_type=50),4.04,
Dispense 7 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=70, pressure=None, turn_off_air_valve=True),4.06,
Aspirate 20 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=200, pressure=-300, pipette_tip_type=50),4.05,
Dispense 20 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=200, pressure=None, turn_off_air_valve=True),4.31,
Aspirate 20 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=200, pressure=-300, pipette_tip_type=50),4.1,
Dispense 20 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=200, pressure=None, turn_off_air_valve=True),4.21,
Aspirate 20 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=200, pressure=-300, pipette_tip_type=50),4.18,
Dispense 20 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=200, pressure=None, turn_off_air_valve=True),4.36,
Wait 2 seconds,delay,2,
Dispense 5 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=50, pressure=None, turn_off_air_valve=True),4.12,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.16,
Aspirate 25 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=250, pressure=-300, pipette_tip_type=200),4.1,
Dispense 25 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=250, pressure=100, turn_off_air_valve=True),4.02,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.18,
Aspirate 10 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=100, pressure=-300, pipette_tip_type=50),4.04,
Dispense 10 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=100, pressure=None, turn_off_air_valve=True),4.05,
Aspirate 25 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=250, pressure=-300, pipette_tip_type=50),4.09,
Dispense 25 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=250, pressure=None, turn_off_air_valve=True),4.18,
Aspirate 25 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=250, pressure=-300, pipette_tip_type=50),4.06,
Dispense 25 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=250, pressure=None, turn_off_air_valve=True),4.2,
Aspirate 25 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=250, pressure=-300, pipette_tip_type=50),4.02,
Dispense 25 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=250, pressure=None, turn_off_air_valve=True),4.2,
Aspirate 25 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=250, pressure=-300, pipette_tip_type=50),4.22,
Dispense 25 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=250, pressure=None, turn_off_air_valve=True),4.27,
Aspirate 25 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=250, pressure=-300, pipette_tip_type=50),4.05,
Dispense 25 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=250, pressure=None, turn_off_air_valve=True),4.19,
Wait 3 seconds,delay,3,
Dispense 10 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=100, pressure=None, turn_off_air_valve=True),4.05,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),56.48,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-396300, velocity='300000'),1.55,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-391300, velocity='300000'),1.56,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-402300, velocity='300000'),1.79,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-396300, velocity='300000'),1.54,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-391300, velocity='300000'),1.56,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-402300, velocity='300000'),1.77,
Aspirate 200 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=2000, pressure=-300, pipette_tip_type=1000),4.68,
Aspirate 200 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=2000, pressure=-300, pipette_tip_type=1000),4.48,
Dispense 300 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=3000, pressure=None, turn_off_air_valve=True),4.76,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.1,
Aspirate 200 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=2000, pressure=-300, pipette_tip_type=1000),4.31,
Dispense 200 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=2000, pressure=None, turn_off_air_valve=True),4.49,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-396300, velocity='300000'),1.57,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-391300, velocity='300000'),1.55,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-402300, velocity='300000'),1.79,
Aspirate 200 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=2000, pressure=-300, pipette_tip_type=1000),4.34,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-396300, velocity='300000'),1.56,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-391300, velocity='300000'),1.56,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-402300, velocity='300000'),1.79,
Dispense 200 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=2000, pressure=None, turn_off_air_valve=True),4.46,
Dispense 200 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=2000, pressure=None, turn_off_air_valve=True),4.59,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),36.04,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.44,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.23,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-300, pipette_tip_type=1000),5.87,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=None, turn_off_air_valve=True),6.9,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=None, turn_off_air_valve=True),4.06,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-300, pipette_tip_type=1000),5.59,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=None, turn_off_air_valve=True),6.67,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=None, turn_off_air_valve=True),4.06,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-300, pipette_tip_type=1000),5.59,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=None, turn_off_air_valve=True),7.04,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=None, turn_off_air_valve=True),4.05,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-300, pipette_tip_type=1000),5.54,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=None, turn_off_air_valve=True),7.64,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=None, turn_off_air_valve=True),4.04,
Aspirate 160 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=1600, pressure=-300, pipette_tip_type=1000),4.34,
