Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),39.61,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-520000, velocity='80000'),12.67,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-525000, velocity='80000'),1.58,
Wait 3 seconds,delay,3,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-325000, velocity='800000'),3.24,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-525000, velocity='800000'),3.22,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),42.46,
Wait 3 seconds,delay,3,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),30.78,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.25,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),44.67,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=300, turn_off_air_valve=True),13.94,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=300, turn_off_air_valve=True),13.74,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=300, turn_off_air_valve=True),13.72,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=300, turn_off_air_valve=True),5.15,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),24.64,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.23,
Aspirate 400 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=4000, pressure=-300, pipette_tip_type=1000),4.63,
Dispense 200 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=2000, pressure=300, turn_off_air_valve=True),4.31,
Dispense 200 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=2000, pressure=300, turn_off_air_valve=True),4.22,
Wait 3 seconds,delay,3,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),30.77,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.14,
Aspirate 400 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=4000, pressure=-300, pipette_tip_type=1000),4.76,
Dispense 400 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=4000, pressure=300, turn_off_air_valve=True),4.5,
Wait 3 seconds,delay,3,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),30.69,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.15,
Aspirate 400 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=4000, pressure=-300, pipette_tip_type=1000),4.74,
Dispense 400 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=4000, pressure=300, turn_off_air_valve=True),4.48,
Wait 3 seconds,delay,3,
