		- Message (SEND): http://127.0.0.1:8000/reader/axis/move/10?position=0&velocity=80000
		- Message (RECEIVED): Status Code: OK
		- Message (SEND): http://127.0.0.1:8000/reader/axis/position/10
		- Message (RECEIVED): {"_sid":3,"_mid":10,"_duration_us":22022,"message":">a,89bd,?pos,e4e9","response":"<a,89bd,0,-199972\r"}
		- Message (SEND): http://127.0.0.1:8000/reader/axis/position/10
		- Message (RECEIVED): {"_sid":3,"_mid":10,"_duration_us":30215,"message":">a,786a,?pos,60c3","response":"<a,786a,0,-199846\r"}
		- Message (SEND): http://127.0.0.1:8000/reader/axis/position/10
		- Message (RECEIVED): {"_sid":3,"_mid":10,"_duration_us":33178,"message":">a,4057,?pos,6f99","response":"<a,4057,0,-199619\r"}
		- Message (SEND): http://127.0.0.1:8000/reader/axis/position/10
		- Message (RECEIVED): {"_sid":3,"_mid":10,"_duration_us":33979,"message":">a,3cda,?pos,224c","response":"<a,3cda,0,-199291\r"}
		- Message (SEND): http://127.0.0.1:8000/reader/axis/position/10
		- Message (RECEIVED): {"_sid":3,"_mid":10,"_duration_us":34444,"message":">a,116a,?pos,7739","response":"<a,116a,0,-198861\r"}
		- Message (SEND): http://127.0.0.1:8000/reader/axis/position/10
		- Message (RECEIVED): {"_sid":3,"_mid":10,"_duration_us":33492,"message":">a,1a5e,?pos,3173","response":"<a,1a5e,0,-198330\r"}
		- Message (SEND): http://127.0.0.1:8000/reader/axis/position/10
		- Message (RECEIVED): {"_sid":3,"_mid":10,"_duration_us":36433,"message":">a,c3da,?pos,76f3","response":"<a,c3da,0,-197698\r"}
		- Message (SEND): http://127.0.0.1:8000/reader/axis/position/10
		- Message (RECEIVED): {"_sid":3,"_mid":10,"_duration_us":33523,"message":">a,80fc,?pos,1732","response":"<a,80fc,0,-196965\r"}
		- Message (SEND): http://127.0.0.1:8000/reader/axis/position/10
		- Message (RECEIVED): {"_sid":3,"_mid":10,"_duration_us":33552,"message":">a,13a5,?pos,aa38","response":"<a,13a5,0,-196131\r"}
		- Message (SEND): http://127.0.0.1:8000/reader/axis/position/10
		- Message (RECEIVED): {"_sid":3,"_mid":10,"_duration_us":33609,"message":">a,2903,?pos,e457","response":"<a,2903,0,-195195\r"}
		- Message (SEND): http://127.0.0.1:8000/reader/axis/position/10
